date,cash,stock_value,total_value
2016-05-11,3762130.429878995,3477965.252756,7240095.682634994
2016-05-12,3762130.429878995,3480407.572236001,7242538.002114996
2016-05-13,3762130.429878995,3461603.4247579994,7223733.854636994
2016-05-16,3762130.429878995,3541950.851168999,7304081.281047994
2016-05-17,3762130.429878995,3545266.328328,7307396.758206995
2016-05-18,3762130.429878995,3419814.6565809995,7181945.086459994
2016-05-19,3762130.429878995,3455069.7243999983,7217200.154278994
2016-05-20,3762130.429878995,3490509.493212,7252639.923090994
2016-05-23,3762130.429878995,3560303.8693660013,7322434.299244996
2016-05-24,3762130.429878995,3527089.930095,7289220.359973995
2016-05-25,3762130.429878995,3503072.1259339983,7265202.555812993
2016-05-26,3762130.429878995,3514828.2190819997,7276958.648960995
2016-05-27,3762130.429878995,3490296.2014120016,7252426.631290996
2016-05-30,3762130.429878995,3477872.6528910003,7240003.082769996
2016-05-31,3762130.429878995,3606025.20654,7368155.636418994
2016-06-01,3762130.429878995,3657870.426892,7420000.856770994
2016-06-02,3762130.429878995,3693066.165680999,7455196.595559994
2016-06-03,3762130.429878995,3700530.700360998,7462661.130239993
2016-06-06,3762130.429878995,3731557.71058,7493688.140458995
2016-06-07,3762130.429878995,3727673.8637720007,7489804.293650996
2016-06-08,3762130.429878995,3724643.143154,7486773.573032995
2016-06-13,3762130.429878995,3555662.9674169994,7317793.397295995
2016-06-14,3762130.429878995,3565866.1279939995,7327996.557872994
2016-06-15,3762130.429878995,3684309.414291,7446439.844169995
2016-06-16,3762130.429878995,3699387.441543,7461517.871421995
2016-06-17,3762130.429878995,3744018.384241999,7506148.814120993
2016-06-20,3762130.429878995,3772041.1390650007,7534171.568943996
2016-06-21,3762130.429878995,3721623.300774,7483753.730652995
2016-06-22,3762130.429878995,3779274.082364,7541404.512242995
2016-06-23,3762130.429878995,3763410.9446839984,7525541.374562994
2016-06-24,3762130.429878995,3760130.644877,7522261.074755995
2016-06-27,3762130.429878995,3851494.298304,7613624.728182995
2016-06-28,3762130.429878995,3898786.652306999,7660917.082185993
2016-06-29,3762130.429878995,3904895.856886,7667026.286764995
