code,name,industry,source,update_date
300523,辰安科技,软件服务,tushare,2026-08-04
300525,博思软件,软件服务,tushare,2026-08-04
300529,健帆生物,医疗保健,tushare,2026-08-04
300534,陇神戎发,中成药,tushare,2026-08-04
300537,广信材料,染料涂料,tushare,2026-08-04
300538,同益股份,塑料,tushare,2026-08-04
300542,新晨科技,软件服务,tushare,2026-08-04
300546,雄帝科技,IT设备,tushare,2026-08-04
300552,万集科技,IT设备,tushare,2026-08-04
300554,三超新材,矿物制品,tushare,2026-08-04
300559,佳发教育,软件服务,tushare,2026-08-04
300560,中富通,通信设备,tushare,2026-08-04
300562,乐心医疗,医疗保健,tushare,2026-08-04
300565,科信技术,通信设备,tushare,2026-08-04
300569,天能重工,电气设备,tushare,2026-08-04
300571,平治信息,互联网,tushare,2026-08-04
300572,安车检测,电器仪表,tushare,2026-08-04
300578,会畅科技,通信设备,tushare,2026-08-04
300579,数字认证,软件服务,tushare,2026-08-04
300581,晨曦航空,航空,tushare,2026-08-04
300582,英飞特,元器件,tushare,2026-08-04
300584,海辰药业,化学制药,tushare,2026-08-04
300585,奥联电子,汽车配件,tushare,2026-08-04
300587,天铁科技,橡胶,tushare,2026-08-04
300589,江龙船艇,船舶,tushare,2026-08-04
300595,欧普康视,医疗保健,tushare,2026-08-04
300597,吉大通信,通信设备,tushare,2026-08-04
300601,康泰生物,生物制药,tushare,2026-08-04
300602,飞荣达,元器件,tushare,2026-08-04
300603,立昂技术,通信设备,tushare,2026-08-04
300604,长川科技,半导体,tushare,2026-08-04
300609,汇纳科技,软件服务,tushare,2026-08-04
300611,美力科技,汽车配件,tushare,2026-08-04
300612,宣亚国际,广告包装,tushare,2026-08-04
300613,富瀚微,半导体,tushare,2026-08-04
300615,欣天科技,通信设备,tushare,2026-08-04
300617,安靠智电,电气设备,tushare,2026-08-04
300618,寒锐钴业,小金属,tushare,2026-08-04
300619,金银河,专用机械,tushare,2026-08-04
300620,光库科技,通信设备,tushare,2026-08-04
300623,捷捷微电,半导体,tushare,2026-08-04
300624,万兴科技,软件服务,tushare,2026-08-04
300626,华瑞股份,电气设备,tushare,2026-08-04
300633,开立医疗,医疗保健,tushare,2026-08-04
