date,code,action,price,shares
2005-05-10,600120,SELL,0.48070057824,8200
2005-05-10,49,SELL,2.03156632008,2400
2005-05-10,717,SELL,2.60099452188,4200
2005-05-10,89,SELL,3.41304385968,1300
2005-05-10,567,SELL,0.6278342772600001,6500
2005-05-10,815,SELL,2.365114518,1800
2005-05-10,600016,SELL,0.5590764139500001,9600
2005-05-10,600780,SELL,2.32007321439,1400
2005-05-10,885,SELL,1.02799785312,4700
2005-05-10,600426,SELL,1.16288652942,4800
2005-05-10,410,SELL,3.73722966936,1200
2005-05-10,600308,SELL,1.86332396085,7300
2005-05-10,600276,SELL,0.57215033694,32300
2005-05-10,519,SELL,3.1608446913,1300
2005-05-10,920,SELL,3.2868245853,800
2005-05-10,600320,SELL,2.13203535048,2900
2005-05-10,600095,SELL,1.6813395774,2100
2005-05-10,600323,SELL,2.3198659119,5900
2005-05-10,573,SELL,1.9396267317,2000
2005-05-10,600166,SELL,0.51236594118,20200
2005-05-10,829,SELL,1.0865641482,3400
2005-05-10,731,SELL,4.36121410032,3500
2005-05-10,738,SELL,1.4801385798,1900
2005-05-10,518,SELL,1.71828,2000
2005-05-10,600519,SELL,10.7304453135,600
2005-05-10,600797,SELL,3.2044679244,1200
2005-05-10,600303,SELL,1.88613928269,2000
2005-05-10,600580,SELL,1.14879611394,11200
2005-05-10,629,SELL,1.29746387736,3500
2005-05-10,600126,SELL,2.09080063647,5200
2005-05-10,828,SELL,2.47160956635,1800
2005-05-10,600563,SELL,4.22013704859,800
2005-05-10,600301,SELL,4.63746151638,2100
2005-05-10,600396,SELL,1.56906670266,2800
2005-05-10,600499,SELL,0.49863087,23900
2005-05-10,600616,SELL,4.7653761537,1200
2005-05-10,600026,SELL,7.1413538976,700
2005-05-10,600398,SELL,1.28245741884,10900
2005-05-10,600630,SELL,2.39712629418,1300
2005-05-10,153,SELL,2.0842327809,1800
2005-05-10,988,SELL,2.26427977368,1600
2005-05-10,600031,SELL,0.44488202265,10800
2005-05-10,507,SELL,2.0097476406,2300
2005-05-10,600176,SELL,0.60721389828,10000
2005-05-10,600789,SELL,1.30981938948,3100
2005-05-10,600202,SELL,4.06863101628,1100
2005-05-10,514,SELL,1.33081681104,2400
2005-05-10,25,SELL,2.0564231184,2100
2005-05-10,407,SELL,1.16237214432,3100
2005-05-10,600710,SELL,1.0712842434,2400
2005-05-10,600255,BUY,0.5525004484999999,6400
2005-05-10,62,BUY,2.266107844,1500
2005-05-10,600071,BUY,3.53512181022,1000
2005-05-10,600618,BUY,3.710971264,900
2005-05-10,736,BUY,0.5639691056999999,6200
2005-05-10,571,BUY,1.798794998,1900
2005-05-10,402,BUY,1.6816361561999995,2100
2005-05-10,783,BUY,0.5346641299999999,6600
2005-05-10,600562,BUY,0.94590148653,3700
2005-05-10,401,BUY,1.7765820071999998,1900
2005-05-10,600876,BUY,2.4424399999999995,1400
2005-05-10,600513,BUY,1.3749793657599998,2500
2005-05-10,498,BUY,1.9391428056,1800
2005-05-10,600894,BUY,1.3768464910199998,2500
2005-05-10,600128,BUY,2.59611623271,1300
2005-05-10,672,BUY,1.0999211623399998,3200
2005-05-10,670,BUY,2.2022,1600
2005-05-10,600345,BUY,4.955937686699999,700
2005-05-10,532,BUY,3.64907294752,900
2005-05-10,617,BUY,5.475610139999999,600
2005-05-10,600157,BUY,0.3045042,11600
2005-05-10,600552,BUY,0.7379975202599999,4800
2005-05-10,915,BUY,1.5150526190799998,2300
2005-05-10,600873,BUY,0.53803293544,6500
2005-05-10,600816,BUY,0.4138541607199999,8500
2005-05-10,501,BUY,1.5560697151999998,2200
2005-05-10,600703,BUY,0.1898409312799999,18600
2005-05-10,600460,BUY,2.5781019264,1300
2005-05-10,600251,BUY,0.8865937079999999,3900
2005-05-10,701,BUY,4.919648734,700
2005-05-10,60,BUY,0.8175566899499999,4300
2005-05-10,600458,BUY,0.9711853351199998,3600
2005-05-10,600,BUY,2.4645976355,1400
2005-05-10,600353,BUY,0.6065696837199999,5800
2005-05-10,600390,BUY,1.0196701515,3400
2005-05-10,685,BUY,0.7839258226799999,4500
2005-05-10,600498,BUY,2.5751677952,1300
2005-05-10,600415,BUY,0.7611123519999999,4600
2005-05-10,600619,BUY,4.969083799679999,700
2005-05-10,758,BUY,1.3231329111,2600
2005-05-10,600233,BUY,1.3438869444,2600
2005-05-10,90,BUY,0.6434303175299999,5500
2005-05-10,600373,BUY,0.7469199938199999,4700
2005-05-10,600874,BUY,2.97959891229,1100
2005-05-10,600641,BUY,1.26460017684,2800
2005-05-10,600179,BUY,2.21318113016,1600
2005-05-10,600331,BUY,2.8358181851999995,1200
2005-05-10,600428,BUY,3.2817951166,1000
2005-05-10,545,BUY,1.0005833037199998,3500
2005-05-10,600490,BUY,0.4101885988199999,8600
2005-05-10,600110,BUY,1.8172279125,1900
2005-05-10,600058,BUY,5.764535777,600
2005-05-10,728,BUY,1.10643439907,3200
2005-05-10,600203,BUY,3.16090350576,1100
2005-05-10,59,BUY,3.7900726864,900
2005-05-10,600736,BUY,1.7251201967999998,2000
2005-05-10,600801,BUY,0.51897150305,6800
2005-05-10,600268,BUY,0.94946589738,3700
2005-05-10,600651,BUY,4.0065959934,800
2005-05-10,600802,BUY,1.4054564524,2500
2005-05-10,600549,BUY,1.91183967975,1800
2005-05-10,600711,BUY,0.8738387658,4000
2005-05-10,968,BUY,3.9203356392199993,900
2005-05-10,833,BUY,2.1703582901,1600
2005-05-10,795,BUY,1.4230676459999998,2400
2005-05-10,997,BUY,2.39028472683,1400
2005-05-10,612,BUY,1.1217915308599995,3100
2005-05-10,600720,BUY,1.0428878259799998,3300
2005-05-10,600282,BUY,1.0102512419999998,3500
2005-05-10,600872,BUY,1.2703452761999998,2700
2005-05-10,926,BUY,2.25585418058,1500
2005-05-10,600266,BUY,1.6440986562,2100
2005-08-02,62,SELL,2.18965969845,1500
2005-08-02,600071,SELL,2.82989399328,1000
2005-08-02,600618,SELL,3.0470171328,900
