date,cash,stock,total_value,position
2017-07-24,0.0,97996467.28404245,97996467.28404245,1.0
2017-07-25,0.0,97883142.47334366,97883142.47334366,1.0
2017-07-26,0.0,97767968.79436164,97767968.79436164,1.0
2017-07-27,0.0,98626455.63176581,98626455.63176581,1.0
2017-07-28,0.0,98926877.63191546,98926877.63191546,1.0
2017-07-31,0.0,100195933.21593033,100195933.21593033,1.0
2017-08-01,0.0,118181603.77926846,118181603.77926846,1.0
2017-08-02,0.0,117139742.40386164,117139742.40386164,1.0
2017-08-03,0.0,117348891.97221003,117348891.97221003,1.0
2017-08-04,0.0,116698429.60689831,116698429.60689831,1.0
2017-08-07,0.0,117724994.00555988,117724994.00555988,1.0
2017-08-08,0.0,118169707.96778512,118169707.96778512,1.0
2017-08-09,0.0,118520746.12526403,118520746.12526403,1.0
2017-08-10,0.0,117760099.61844845,117760099.61844845,1.0
2017-08-11,0.0,115910442.9121736,115910442.9121736,1.0
2017-08-14,0.0,118606071.57848385,118606071.57848385,1.0
2017-08-15,0.0,118792750.67065121,118792750.67065121,1.0
2017-08-16,0.0,119048574.70715424,119048574.70715424,1.0
2017-08-17,0.0,120234083.92691329,120234083.92691329,1.0
2017-08-18,0.0,119971821.33298612,119971821.33298612,1.0
2017-08-21,0.0,121175786.29392084,121175786.29392084,1.0
2017-08-22,0.0,120541522.58058073,120541522.58058073,1.0
2017-08-23,0.0,119855031.26153952,119855031.26153952,1.0
2017-08-24,0.0,119399085.87500681,119399085.87500681,1.0
2017-08-25,0.0,120486898.48649599,120486898.48649599,1.0
2017-08-28,0.0,121919683.9071322,121919683.9071322,1.0
2017-08-29,0.0,121538192.08835874,121538192.08835874,1.0
2017-08-30,0.0,122053357.87694404,122053357.87694404,1.0
2017-08-31,0.0,122664290.2821569,122664290.2821569,1.0
2017-09-01,0.0,123927000.67030542,123927000.67030542,1.0
2017-09-04,0.0,124909976.663951,124909976.663951,1.0
2017-09-05,0.0,124734325.27518411,124734325.27518411,1.0
2017-09-06,0.0,125129282.17714612,125129282.17714612,1.0
2017-09-07,0.0,124075190.97877623,124075190.97877623,1.0
2017-09-08,0.0,124160881.92929593,124160881.92929593,1.0
2017-09-11,0.0,124919420.03602101,124919420.03602101,1.0
2017-09-12,0.0,125586498.26658356,125586498.26658356,1.0
2017-09-13,0.0,126291432.31457207,126291432.31457207,1.0
2017-09-14,0.0,126087382.15308788,126087382.15308788,1.0
2017-09-15,0.0,125305052.48343347,125305052.48343347,1.0
2017-09-18,0.0,126523416.59152016,126523416.59152016,1.0
2017-09-19,0.0,126016610.9607594,126016610.9607594,1.0
2017-09-20,0.0,127110947.00415747,127110947.00415747,1.0
2017-09-21,0.0,125084359.33876874,125084359.33876874,1.0
2017-09-22,0.0,124124833.9335877,124124833.9335877,1.0
2017-09-25,0.0,121871973.08762673,121871973.08762673,1.0
2017-09-26,0.0,122287468.91888733,122287468.91888733,1.0
2017-09-27,0.0,122892779.83935352,122892779.83935352,1.0
2017-09-28,0.0,122416613.72981489,122416613.72981489,1.0
2017-09-29,0.0,123769451.7114272,123769451.7114272,1.0
2017-10-09,0.0,124739426.805621,124739426.805621,1.0
2017-10-10,0.0,125421317.38198496,125421317.38198496,1.0
2017-10-11,0.0,125718593.63653284,125718593.63653284,1.0
2017-10-12,0.0,125466387.67143095,125466387.67143095,1.0
2017-10-13,0.0,126517848.77919625,126517848.77919625,1.0
2017-10-16,0.0,124837963.94298427,124837963.94298427,1.0
2017-10-17,0.0,124613144.65372024,124613144.65372024,1.0
2017-10-18,0.0,124401768.05043118,124401768.05043118,1.0
2017-10-19,0.0,122966286.92092223,122966286.92092223,1.0
2017-10-20,0.0,123965118.06619239,123965118.06619239,1.0
2017-10-23,0.0,124504479.399969,124504479.399969,1.0
2017-10-24,0.0,124423191.06718199,124423191.06718199,1.0
2017-10-25,0.0,125213683.94705325,125213683.94705325,1.0
2017-10-26,0.0,125612659.17993031,125612659.17993031,1.0
2017-10-27,0.0,124560628.58784291,124560628.58784291,1.0
2017-10-30,0.0,121536652.3857771,121536652.3857771,1.0
2017-10-31,0.0,122924679.95661484,122924679.95661484,1.0
2017-11-01,0.0,127176374.1058859,127176374.1058859,1.0
2017-11-02,0.0,125833205.26959868,125833205.26959868,1.0
2017-11-03,0.0,124529659.5338403,124529659.5338403,1.0
2017-11-06,0.0,126982285.4287733,126982285.4287733,1.0
2017-11-07,0.0,127546855.76152533,127546855.76152533,1.0
2017-11-08,0.0,127974813.85820362,127974813.85820362,1.0
2017-11-09,0.0,129206985.14960223,129206985.14960223,1.0
2017-11-10,0.0,130316154.81684822,130316154.81684822,1.0
2017-11-13,0.0,131736204.43697126,131736204.43697126,1.0
2017-11-14,0.0,131074534.00909735,131074534.00909735,1.0
2017-11-15,0.0,129627305.63933787,129627305.63933787,1.0
2017-11-16,0.0,130365592.64168033,130365592.64168033,1.0
2017-11-17,0.0,126341987.28176036,126341987.28176036,1.0
2017-11-20,0.0,128103850.53221394,128103850.53221394,1.0
2017-11-21,0.0,129095140.4530218,129095140.4530218,1.0
2017-11-22,0.0,128658340.7103311,128658340.7103311,1.0
2017-11-23,0.0,125076377.68242148,125076377.68242148,1.0
2017-11-24,0.0,125608003.5450995,125608003.5450995,1.0
2017-11-27,0.0,124681482.76053257,124681482.76053257,1.0
2017-11-28,0.0,127796952.30301958,127796952.30301958,1.0
2017-11-29,0.0,129527748.34660608,129527748.34660608,1.0
2017-11-30,0.0,128410005.69465078,128410005.69465078,1.0
2017-12-01,0.0,130197277.16697618,130197277.16697618,1.0
2017-12-04,0.0,129287470.1546092,129287470.1546092,1.0
2017-12-05,0.0,125607627.60252391,125607627.60252391,1.0
2017-12-06,0.0,126449833.48289056,126449833.48289056,1.0
2017-12-07,0.0,126404228.67583694,126404228.67583694,1.0
2017-12-08,0.0,128214381.76353753,128214381.76353753,1.0
2017-12-11,0.0,130828957.23491998,130828957.23491998,1.0
2017-12-12,0.0,129357906.0920277,129357906.0920277,1.0
2017-12-13,0.0,130179211.80761,130179211.80761,1.0
2017-12-14,0.0,130342497.67868604,130342497.67868604,1.0
2017-12-15,0.0,128902865.36031939,128902865.36031939,1.0
2017-12-18,0.0,127895497.19217585,127895497.19217585,1.0
2017-12-19,0.0,128699113.1557848,128699113.1557848,1.0
2017-12-20,0.0,127848617.98788361,127848617.98788361,1.0
2017-12-21,0.0,128954666.46793912,128954666.46793912,1.0
2017-12-22,0.0,129046988.2685599,129046988.2685599,1.0
2017-12-25,0.0,128049333.35935906,128049333.35935906,1.0
2017-12-26,0.0,127916092.80684134,127916092.80684134,1.0
2017-12-27,0.0,126946297.59811123,126946297.59811123,1.0
2017-12-28,0.0,127347048.57570596,127347048.57570596,1.0
2017-12-29,0.0,128475711.15859327,128475711.15859327,1.0
2018-01-02,0.0,131213901.0415012,131213901.0415012,1.0
2018-01-03,0.0,133086389.88942301,133086389.88942301,1.0
2018-01-04,0.0,135019931.50929946,135019931.50929946,1.0
2018-01-05,0.0,134025627.12883785,134025627.12883785,1.0
2018-01-08,0.0,134621630.86912358,134621630.86912358,1.0
2018-01-09,0.0,134697332.63948968,134697332.63948968,1.0
2018-01-10,0.0,133759359.64754595,133759359.64754595,1.0
2018-01-11,0.0,133653306.91861992,133653306.91861992,1.0
2018-01-12,0.0,133216864.74874051,133216864.74874051,1.0
2018-01-15,0.0,130048968.46128398,130048968.46128398,1.0
2018-01-16,0.0,131321642.18215886,131321642.18215886,1.0
2018-01-17,0.0,130730392.90169266,130730392.90169266,1.0
2018-01-18,0.0,131862520.07052001,131862520.07052001,1.0
2018-01-19,0.0,131068708.79756862,131068708.79756862,1.0
2018-01-22,0.0,132715555.81544001,132715555.81544001,1.0
2018-01-23,0.0,133167709.56131876,133167709.56131876,1.0
2018-01-24,0.0,133624858.1882674,133624858.1882674,1.0
2018-01-25,0.0,133417904.70696358,133417904.70696358,1.0
2018-01-26,0.0,133237884.65686183,133237884.65686183,1.0
2018-01-29,0.0,132469127.34452409,132469127.34452409,1.0
2018-01-30,0.0,132648242.49578974,132648242.49578974,1.0
2018-01-31,0.0,130692212.20003434,130692212.20003434,1.0
2018-02-01,0.0,128047277.28766084,128047277.28766084,1.0
2018-02-02,0.0,129703925.25171907,129703925.25171907,1.0
2018-02-05,0.0,130321485.34438542,130321485.34438542,1.0
2018-02-06,0.0,123527139.33431135,123527139.33431135,1.0
2018-02-07,0.0,123429451.73849079,123429451.73849079,1.0
2018-02-08,86983006.1925085,37278431.22536078,124261437.41786928,0.3
2018-02-09,85885195.07153,36807940.74494143,122693135.81647143,0.3
2018-02-12,86689975.9430072,37152846.83271737,123842822.77572456,0.3
