date,cash,stock_value,total_value,close,ma120,ma250,target_position,overlay_total,overlay_stock,overlay_cash
2024-07-18,1498499.759842816,5451644.632717999,6950144.392560815,3520.931,3506.46265,3572.95128,0.6,6950144.392560815,4170086.635536489,2780057.7570243264
2024-07-19,1498499.759842816,5421635.490299999,6920135.250142815,3539.016,3509.045433333333,3571.730036,0.6,6920135.250142815,4152081.1500856886,2768054.100057126
2024-07-22,1498499.759842816,5403655.240374999,6902155.000217815,3514.925,3511.0470666666665,3570.3117920000004,0.6,6902155.000217815,4141293.000130689,2760862.000087126
2024-07-23,1498499.759842816,5250093.152513999,6748592.912356814,3439.878,3512.4645833333334,3568.697556,0.3,6748592.912356814,2024577.8737070442,4724015.03864977
2024-07-24,1498499.759842816,5192468.632918999,6690968.392761814,3418.166,3514.1251166666666,3566.776528,0.3,6690968.392761814,2007290.5178285441,4683677.874933271
2024-07-25,1498499.759842816,5153063.121476001,6651562.881318817,3399.272,3515.519608333333,3564.777204,0.3,6651562.881318817,1995468.864395645,4656094.016923172
2024-07-26,1498499.759842816,5213081.175647002,6711580.9354898175,3409.293,3516.621141666666,3562.945676,0.3,6711580.9354898175,2013474.2806469451,4698106.654842872
2024-07-29,1498499.759842816,5217500.823721002,6716000.583563818,3390.742,3517.0196666666666,3561.0888879999998,0.3,6716000.583563818,2014800.1750691452,4701200.408494673
2024-07-30,1498499.759842816,5195335.300303001,6693835.060145817,3369.382,3517.3160083333332,3559.162952,0.3,6693835.060145817,2008150.5180437448,4685684.542102072
2024-07-31,1498499.759842816,5367623.516393001,6866123.276235817,3442.084,3518.4670416666672,3557.636508,0.3,6866123.276235817,2059836.982870745,4806286.293365072
2024-08-01,676945.8644522846,6152561.502782,6829507.367234285,3419.267,3519.9189416666663,3556.0259359999995,0.3,6829507.367234285,2048852.2101702853,4780655.157064
2024-08-02,676945.8644522846,6061408.724804999,6738354.589257284,3384.392,3521.3276083333335,3554.3426199999994,0.3,6738354.589257284,2021506.3767771851,4716848.212480099
