code,buy_date,sell_date,shares,avg_cost,sell_price,loss_amount,return,holding_days,max_position_value,name,industry,contribution
600129,2013-11-01,2014-05-06 00:00:00,3300,9.5186168623,8.0042725152,-4997.336345429999,-0.15909289858044418,186,26466.98037984,太极集团,中成药,6.443741195403877e-05
300681,2021-11-02,2022-11-01 00:00:00,1100,31.4491976799,26.91721328256,-4985.182837074,-0.14410492895456306,364,34594.11744789,英搏尔,汽车配件,6.428070034399505e-05
300214,2012-11-01,2013-05-03 00:00:00,2800,5.67753120935,3.904655436,-4964.052165379999,-0.3122617398263443,183,15897.08738618,日科化学,化工原料,6.400823403340599e-05
002819,2019-11-01,2020-05-07 00:00:00,2000,24.77953510032,22.29837095835,-4962.3282839400035,-0.10012956788434502,188,81266.36716598399,东方中科,电器仪表,6.398600569998383e-05
002385,2020-05-07,2020-11-03 00:00:00,6200,8.881310688249998,8.08264391535,-4951.733991979993,-0.08992667872284188,180,55064.126267149986,大北农,饲料,6.384939917438688e-05
000795,2005-05-10,2005-11-01 00:00:00,2400,3.4459978344458335,1.3965539481,-4918.66532723,-0.5947316234095701,175,46645.311300588,英洛华,矿物制品,6.342300018380984e-05
000519,2012-11-01,2013-11-01 00:00:00,1900,10.963590944622105,8.37697700763,-4914.566480285,-0.23592762171238235,365,15908.217136812,中兵红箭,专用机械,6.337014821010327e-05
002322,2013-05-03,2013-11-01 00:00:00,3800,8.9602306794,7.6670671581,-4914.021380940001,-0.1443225702071539,182,34048.876581720004,理工能科,软件服务,6.336311950748619e-05
300056,2013-11-01,2014-05-06 00:00:00,3100,8.319640329,6.740820272160001,-4894.342176203999,-0.18977022977022973,186,67411.34399999998,中创环保,环境保护,6.310936892220464e-05
600838,2010-05-05,2010-11-02 00:00:00,1600,11.626363877253123,8.595328867200001,-4849.656016084995,-0.26070360794257563,181,13995.372190799997,上海九百,百货,6.25331698615059e-05
600990,2007-05-09,2007-08-01 00:00:00,3500,6.6233960793,5.23984175316,-4842.4401414899985,-0.208888961127359,84,65101.4105742,四创电子,通信设备,6.244012583730056e-05
002232,2011-05-04,2011-11-01 00:00:00,3400,11.285697453029998,9.8637268995,-4834.699882001995,-0.1259975787449651,181,61824.06300470399,启明信息,软件服务,6.234032020990552e-05
600368,2012-05-03,2012-11-01 00:00:00,19100,1.7447645214999998,1.49224520106,-4823.119020403997,-0.14472974279813144,182,39350.453298156004,五洲交通,路桥,6.219099250850809e-05
000600,2008-05-06,2009-05-05 00:00:00,1000,9.799806216199999,4.9873410666,-4812.465149599999,-0.4910775829061337,364,6349.3695265,建投能源,火力发电,6.205361775234821e-05
603638,2018-05-03,2018-11-01 00:00:00,4800,8.73925804752,7.737647856750001,-4807.728915695996,-0.1146104377881636,182,97424.49029913598,艾迪精密,专用机械,6.199254708708031e-05
000403,2009-11-03,2010-05-05 00:00:00,14800,2.4079080647243245,2.0832924222,-4804.311509360003,-0.13481230752947748,183,50565.2888741,派林生物,生物制药,6.194848184818796e-05
002064,2008-05-06,2008-11-03 00:00:00,2000,3.3317699214799994,0.93647724534,-4790.585352279999,-0.7189249955999335,181,39358.45345632199,华峰化学,化纤,6.177149195253707e-05
000678,2010-05-05,2010-11-02 00:00:00,1600,11.4807844876725,8.4915,-4782.855180275999,-0.260372842194037,181,73929.85599999997,襄阳轴承,汽车配件,6.167181639670766e-05
600251,2009-05-05,2009-11-03 00:00:00,2100,12.478568768379999,10.20171924882,-4781.383991075998,-0.18246079032151585,182,22747.278952397995,冠农股份,农业综合,6.165284636587723e-05
600301,2005-02-01,2005-05-10 00:00:00,2100,6.905969069999999,4.63746151638,-4763.865862601999,-0.32848504397080935,98,16061.043253254998,华锡有色,小金属,6.142696145777511e-05
003003,2023-11-01,2024-05-07 00:00:00,3100,10.572767205,9.0401912595,-4750.985431049999,-0.14495504495504496,188,32775.5783355,天元股份,广告包装,6.12608766444483e-05
600639,2022-05-06,2022-11-01 00:00:00,1300,12.359611263999998,8.716587007680001,-4735.931533215996,-0.2947523331037992,179,16067.494643199998,浦东金桥,园区开发,6.106676639266771e-05
000681,2013-11-01,2014-05-06 00:00:00,2000,20.743501608829995,18.37991544624,-4727.172325179992,-0.11394345116659943,186,25510.703097879996,视觉中国,互联网,6.0953822084421733e-05
600895,2007-11-01,2008-02-01 00:00:00,1200,17.3708126592,13.4336057472,-4724.648294399999,-0.22665646042269416,92,20844.975191039997,张江高科,园区开发,6.092127634406871e-05
600729,2010-11-02,2011-05-04 00:00:00,1400,28.2339401344,24.85985190336,-4723.723523456002,-0.11950468885952759,183,39527.51618816,重百集团,百货,6.0909352022357616e-05
688072,2023-05-05,2023-11-01 00:00:00,300,182.7120580285,167.15188185894002,-4668.0528508679945,-0.08516228396449266,180,93469.299587664,拓荆科技,半导体,6.019151479561334e-05
600395,2009-11-03,2010-05-05 00:00:00,2900,10.47575165637,8.868152450519998,-4662.037696965007,-0.15345907946113513,183,73398.68696159999,盘江股份,煤炭开采,6.0113953286196785e-05
000656,2008-05-06,2008-11-03 00:00:00,2700,2.4370469323199995,0.71421091416,-4651.657249031998,-0.7069359212216354,181,38408.875089584995,金科股份,全国地产,5.99801041406738e-05
300009,2013-08-01,2013-11-01 00:00:00,12400,2.53968443729,2.16518750514,-4643.76195866,-0.1474580568559184,92,31492.087022396,安科生物,生物制药,5.987829949055006e-05
300746,2024-11-01,2025-05-07 00:00:00,2000,16.45644,14.13585,-4641.180000000002,-0.1410140953936575,187,32912.880000000005,汉嘉数智,建筑工程,5.9845006807744195e-05
300464,2019-11-01,2020-05-07 00:00:00,4500,11.209453014759998,10.17992520468,-4632.875145359989,-0.0918446072903264,188,50442.538566419986,星徽股份,机械基件,5.973792109194155e-05
000888,2005-08-02,2005-11-01 00:00:00,6200,2.7349616520032254,1.9891220868,-4624.205304259998,-0.27270567565615944,91,64379.18232345599,峨眉山A,旅游景点,5.962612911239088e-05
603726,2018-11-01,2019-05-07 00:00:00,900,14.91908534116,9.78470975574,-4620.9380268780005,-0.3441481476920615,187,13427.176807044001,朗迪集团,家用电器,5.958399968901828e-05
