code,shares,avg_cost,max_position_value,bottom_value,loss_amount,loss_ratio,peak_date,bottom_date,holding_days,name,industry
600985,9200,7.929878556599998,122235.324912,50866.985288,71368.33962399999,0.5838601866962736,2015-06-12,2016-01-28,351,淮北矿业,煤炭开采
300059,7500,13.893934184797333,93495.86475000001,25465.3578,68030.50695000001,0.7276311859557404,2015-06-12,2017-05-05,168,东方财富,证券
300434,3800,10.8722938324,97433.51392,31346.43788,66087.07604,0.6782786885245902,2015-06-12,2015-09-15,168,金石亚药,化学制药
300413,2100,20.1465901637,89201.959602,23467.164,65734.795602,0.7369209812799467,2015-06-12,2017-01-18,168,芒果超媒,影视音像
300226,1500,26.948301580200003,79789.611,20124.036239999998,59665.57476,0.7477862595419847,2015-06-12,2017-04-24,168,上海钢联,互联网
300182,4400,15.760243188690001,77282.1148,19624.494384,57657.62041599999,0.7460668042691813,2015-06-12,2018-10-16,168,捷成股份,影视音像
300523,1000,40.1986537953,69047.74799999999,11529.87792,57517.87007999999,0.833015873015873,2016-08-23,2016-07-26,168,辰安科技,软件服务
300601,1300,30.648759981840005,56404.545210000004,2440.232106,53964.313104,0.9567369598156538,2018-07-16,2017-02-07,168,康泰生物,生物制药
300559,4400,9.600465875,72090.31367999999,18805.198895999998,53285.11478399999,0.7391438886023723,2016-11-22,2016-11-01,168,佳发教育,软件服务
300427,2800,14.625171080519998,79246.6248,26178.873924,53067.750876000006,0.6696531367730881,2015-11-11,2018-10-18,168,红相股份,电气设备
600727,4600,24.148200691397385,73935.77782799999,22447.054332,51488.72349599999,0.6963979416809605,2015-06-15,2018-10-18,168,鲁北化工,化工原料
300188,2400,83.2161020766075,73252.69848,22197.160632,51055.53784800001,0.6969782534624246,2015-12-31,2017-07-17,168,国投智能,软件服务
300571,800,52.67959096399999,55536.5468,4520.968032,51015.578768,0.9185947219894486,2018-07-04,2016-12-13,168,平治信息,互联网
300107,4600,9.19135702485,68506.788,19061.507922,49445.280077999996,0.721757383779254,2018-05-24,2016-01-28,168,建新股份,化工原料
300251,4000,25.753192690225,69238.38816,23651.14752,45587.24064,0.6584099059997529,2015-06-12,2018-10-16,168,光线传媒,影视音像
300176,1100,37.0015000355,48407.580936000006,4317.634816,44089.94612000001,0.9108066395280447,2018-06-13,2015-09-15,168,鸿特科技,汽车配件
300470,1900,22.18052529693,65615.26226399999,22689.427942,42925.834321999995,0.6542050254907139,2015-12-17,2015-06-12,168,中密控股,机械基件
600777,13000,5.922293551327999,65846.781,23920.0,41926.781,0.6367324319164517,2015-06-19,2018-06-20,168,新潮能源,石油开采
