date,cash,stock_value,total_value
2010-03-02,639904.2190436083,3257370.784805999,3897275.0038496074
2010-03-03,639904.2190436083,3282666.980728001,3922571.199771609
2010-03-04,639904.2190436083,3176900.415569,3816804.6346126082
2010-03-05,639904.2190436083,3184099.7795860004,3824003.9986296087
2010-03-08,639904.2190436083,3217836.6712149996,3857740.890258608
2010-03-09,639904.2190436083,3225461.0226020003,3865365.2416456086
2010-03-10,639904.2190436083,3190512.8870970006,3830417.106140609
2010-03-11,639904.2190436083,3191462.309583,3831366.528626608
2010-03-12,639904.2190436083,3149312.3086249996,3789216.527668608
2010-03-15,639904.2190436083,3126223.9119680002,3766128.1310116085
2010-03-16,639904.2190436083,3146747.0937800007,3786651.312823609
2010-03-17,639904.2190436083,3224538.323875,3864442.542918608
2010-03-18,639904.2190436083,3240245.8225610005,3880150.0416046088
2010-03-19,639904.2190436083,3260373.024497,3900277.2435406083
2010-03-22,639904.2190436083,3272231.993293,3912136.212336608
2010-03-23,639904.2190436083,3262037.6088059987,3901941.827849607
2010-03-24,639904.2190436083,3278774.088002,3918678.3070456083
2010-03-25,639904.2190436083,3241241.900684001,3881146.119727609
2010-03-26,639904.2190436083,3285070.980722999,3924975.1997666075
2010-03-29,639904.2190436083,3329810.268559001,3969714.487602609
2010-03-30,639904.2190436083,3345159.118067999,3985063.337111607
2010-03-31,639904.2190436083,3357656.0704060006,3997560.289449609
2010-04-01,639904.2190436083,3417540.2500239997,4057444.469067608
2010-04-02,639904.2190436083,3418419.068796,4058323.2878396083
2010-04-06,639904.2190436083,3423949.254710001,4063853.473753609
2010-04-07,639904.2190436083,3430381.746098999,4070285.965142607
2010-04-08,639904.2190436083,3428979.5329079996,4068883.751951608
2010-04-09,639904.2190436083,3459287.9792769994,4099192.1983206077
2010-04-12,639904.2190436083,3469235.9882839997,4109140.207327608
2010-04-13,639904.2190436083,3432409.7342359996,4072313.953279608
2010-04-14,639904.2190436083,3466133.1499139983,4106037.3689576066
2010-04-15,639904.2190436083,3448659.5968669993,4088563.8159106076
2010-04-16,639904.2190436083,3430927.3645449993,4070831.5835886076
2010-04-19,639904.2190436083,3267114.2194550005,3907018.438498609
2010-04-20,639904.2190436083,3285830.882618999,3925735.1016626074
2010-04-21,639904.2190436083,3379898.202919,4019802.421962608
2010-04-22,639904.2190436083,3377893.642235999,4017797.8612796073
2010-04-23,639904.2190436083,3366850.8992069997,4006755.118250608
2010-04-26,639904.2190436083,3353348.683326,3993252.902369608
2010-04-27,639904.2190436083,3273462.085134998,3913366.3041786063
2010-04-28,639904.2190436083,3266162.809947,3906067.028990608
2010-04-29,639904.2190436083,3166206.2180810007,3806110.437124609
2010-04-30,639904.2190436083,3106709.252105999,3746613.471149607
2010-05-04,639904.2190436083,3089668.3382230005,3729572.557266609
2010-05-05,2541677.7440266353,1310429.0724149998,3852106.816441635
2010-05-06,2541677.7440266353,1279533.8107610003,3821211.554787636
2010-05-07,2541677.7440266353,1260668.426335,3802346.1703616353
2010-05-10,2541677.7440266353,1229426.0777500002,3771103.8217766355
2010-05-11,2541677.7440266353,1185363.2549460002,3727040.9989726357
2010-05-12,2541677.7440266353,1149690.679801,3691368.423827635
2010-05-13,2541677.7440266353,1181113.5091990002,3722791.2532256357
2010-05-14,2541677.7440266353,1192164.0835670007,3733841.827593636
2010-05-17,2541677.7440266353,1121814.3151500002,3663492.0591766355
2010-05-18,2541677.7440266353,1131081.5977909996,3672759.341817635
2010-05-19,2541677.7440266353,1134818.421561,3676496.1655876352
2010-05-20,2541677.7440266353,1111483.84051,3653161.5845366353
2010-05-21,2541677.7440266353,1136004.753866,3677682.4978926354
2010-05-24,2541677.7440266353,1186608.1310270003,3728285.875053636
