code,buy_date,buy_price,shares,buy_technical_score,buy_trend_score,buy_momentum_score,break_ma20_date,break_ma60_date,break_ma120_date,technical_score_low,max_loss_after_ma60,holding_days
300401,2016-02-02,10.92389406,20900,0.7586197544564814,1.0,0.8620658481882715,2016-03-10,2016-04-12,2016-04-20,0.093749911311041,-0.2577536155637159,659
300209,2016-05-04,19.26680697,1600,0.24447413822444,0.0,0.4967704228467476,2016-05-04,2016-05-04,2016-05-06,0.1007167264955097,-0.5359243223891603,600
300331,2016-05-04,25.26677564,1200,0.3429145963809445,0.0,0.4763826716385978,2016-05-04,2016-05-04,2016-05-04,0.1168446636857996,-0.6248721366332598,600
300288,2016-05-04,35.92872234,800,0.2269012458365562,0.0,0.4845580244751756,2016-05-04,2016-05-04,2016-05-04,0.0913654161816978,-0.6703498975577544,600
600604,2016-05-04,13.41334792,2400,0.2385485285559735,0.0,0.4203929954555436,2016-05-04,2016-05-04,2016-05-04,0.0845892755258826,-0.7707901473713507,600
600072,2016-05-04,14.92208256,2100,0.2328672372030837,0.0,0.3899966275736773,2016-05-04,2016-05-06,2016-05-04,0.083452001762721,-0.5619203061157705,600
600531,2016-05-04,7.29353961,4400,0.3131428149830653,0.0,0.6286016211258716,2016-05-04,2016-05-06,2016-09-12,0.1099700436236541,-0.5866309211694265,600
300359,2016-05-04,27.76957542,1100,0.2304394936514759,0.0,0.4427751770081601,2016-05-04,2016-05-09,2016-05-04,0.1133299144533108,-0.7958197086471694,600
600990,2016-05-04,45.4150036,700,0.809331801677313,1.0,0.694227863557741,2016-05-06,2016-05-09,2016-09-01,0.0965522384977747,-0.5757167043360094,600
300340,2016-05-04,13.3201805,2400,0.3561232989437816,0.0,0.5204109964792719,2016-07-08,2016-08-05,2016-05-04,0.0647892901397918,-0.1352942942477393,600
601069,2016-05-04,22.84089366,1400,0.3371090881032278,0.0,0.7418705427857301,2016-05-04,2016-05-06,2016-05-09,0.0677620753777523,-0.44330245877078345,600
300080,2016-05-04,8.86,3600,0.3220685717218493,0.0,0.7715968618806246,2016-05-04,2016-05-09,2016-05-06,0.1259916834424556,-0.5519187358916477,600
300159,2016-05-04,12.60672,2600,0.294429192499966,0.0,0.6103893020691518,2016-05-06,2016-05-09,2016-05-06,0.0948356551617656,-0.6160391378566352,600
300113,2016-05-04,40.93196653,700,0.3184174219479922,0.0,0.8528956100666408,2016-05-25,2016-06-13,2016-06-13,0.0896062639619562,-0.68799732623059,600
600773,2016-05-04,15.2287674,2100,0.2751320983851441,0.0,0.586942349745264,2016-05-10,2016-08-05,2016-05-04,0.0978222470919106,-0.6371877227568661,600
600416,2016-05-04,12.076475,2600,0.2404115094990965,0.0,0.3485451598644131,2016-05-04,2016-05-04,2016-05-04,0.0954987807320426,-0.5917682933140673,600
