date,code,action,price,shares
2015-11-03,000025,BUY,48.70306048608,500
2015-11-03,300073,BUY,12.665446794,2100
2015-11-03,300136,BUY,17.2342476306,1600
2015-11-03,002316,BUY,15.263817609039998,1800
2015-11-03,000029,BUY,11.937445419899998,2300
2015-11-03,002583,BUY,10.2255618465,2700
2015-11-03,600666,BUY,10.264147673779998,2700
2016-02-02,002263,SELL,2.7915496560000004,6800
2016-02-02,002174,SELL,29.2407728571,900
2016-02-02,002639,SELL,8.3229938748,6200
2016-02-02,000034,SELL,18.2055116646,11200
2016-02-02,002099,BUY,8.150954811999998,26800
2016-02-02,002192,BUY,24.66563771672,8800
2016-02-02,002654,BUY,10.3566788325,21100
2016-02-02,300401,BUY,10.448493515459997,20900
2016-05-04,600590,SELL,10.5839142912,5900
2016-05-04,002321,SELL,9.82137483396,2900
2016-05-04,300189,SELL,6.5934,2400
2016-05-04,002439,SELL,22.81968081666,800
2016-05-04,002010,SELL,14.452341122069999,1400
2016-05-04,002707,SELL,22.051543402980002,1300
2016-05-04,300256,SELL,7.67522378331,4100
2016-05-04,002190,SELL,34.8094601955,700
2016-05-04,000762,SELL,21.882216719160002,1600
2016-05-04,002640,SELL,17.504213075190002,6500
2016-05-04,300085,SELL,31.74201386235,1200
2016-05-04,000850,SELL,4.64422810302,3100
2016-05-04,002555,SELL,13.38874887897,1900
2016-05-04,000428,SELL,7.47252,3100
2016-05-04,002235,SELL,13.30799469399,2100
2016-05-04,600798,SELL,4.92014270223,7700
2016-05-04,002596,SELL,10.0365892641,3600
2016-05-04,002721,SELL,21.01458380058,1300
2016-05-04,002239,SELL,4.706771327189999,4300
2016-05-04,002289,SELL,17.347149086399998,1000
2016-05-04,300292,SELL,8.106527118239999,2900
2016-05-04,300032,SELL,18.234032715,2400
2016-05-04,002437,SELL,9.58213502325,2800
2016-05-04,600984,SELL,5.7518447976,4900
2016-05-04,002099,SELL,8.429273129159998,26800
2016-05-04,300383,SELL,17.5436808579,1500
2016-05-04,300131,SELL,9.90804288915,7100
2016-05-04,300291,SELL,23.69105968554,900
2016-05-04,600637,SELL,15.50378015055,1300
2016-05-04,002252,SELL,20.075017267619998,1200
2016-05-04,002044,SELL,10.54978882083,2600
2016-05-04,002059,SELL,9.548374117949999,2400
2016-05-04,600191,SELL,15.90283896228,1700
2016-05-04,002506,SELL,7.64235,2400
